4FGL name, Redshift, M_BH, M_BH_error
J0037.8+1239, 0.089,  8.64,  0.14	
J0050.7-0929, 0.635,  8.85,  0.18	
J0109.1+1815, 0.145,  9.09,  0.23	
J0123.1+3421, 0.272,  8.68,  0.14	
J0159.5+1046, 0.195,  8.51,  0.14	
J0202.4+0849, 0.629,  8.85,  0.16	
J0208.6+3523, 0.318,  8.62,  0.14	
J0214.3+5145, 0.049,  8.55,  0.13	
J0217.2+0837, 0.085,  8.40,  0.13	
J0238.4-3116, 0.233,  8.73,  0.15	
J0303.4-2407, 0.266,  8.95,  0.17	
J0319.8+1845, 0.190,  8.66,  0.14	
J0340.5-2118, 0.233,  8.29,  0.11	
J0349.4-1159, 0.188,  8.60,  0.13	
J0422.3+1951, 0.512,  8.57,  0.14	
J0424.7+0036, 0.268,  8.76,  0.16	
J0507.9+6737, 0.416,  9.00,  0.18	
J0509.6-0402, 0.304,  8.88,  0.16	
J0617.7-1715, 0.098,  8.83,  0.20	
J0623.9-5259, 0.513,  8.85,  0.16	
J0712.7+5033, 0.502,  8.49,  0.15	
J0757.1+0956, 0.266,  8.53,  0.13	
J0814.6+6430, 0.239,  8.23,  0.14	
J1103.6-2329, 0.186,  9.01,  0.18	
J1136.4+7009, 0.045,  8.62,  0.14	
J1217.9+3007, 0.130,  8.75,  0.15	
J1257.2+3646, 0.530,  8.92,  0.19	
J1315.0-4236, 0.105,  8.56,  0.13	
J1359.8-3746, 0.334,  8.77,  0.16	
J1501.0+2238, 0.235,  8.81,  0.16	
J1517.7+6525, 0.702, 10.11,  0.31	
J1535.0+5320, 0.890,  9.64,  0.24	
J1548.8-2250, 0.192,  8.69,  0.16	
J1643.5-0646, 0.082,  8.43,  0.14	
J1728.3+5013, 0.055,  8.28,  0.11	
J1748.6+7005, 0.770, 10.02,  0.30	
J1757.0+7032, 0.407,  8.78,  0.18	
J1813.5+3144, 0.117,  8.02,  0.11	
J2005.5+7752, 0.342,  8.77,  0.16	
J2009.4-4849, 0.071,  8.90,  0.17	
J2039.5+5218, 0.053,  8.11,  0.11	
J2042.1+2427, 0.104,  8.76,  0.16	
J2055.4-0020, 0.440,  8.38,  0.15	
J2143.1-3929, 0.429,  8.68,  0.15	
J2145.7+0718, 0.237,  8.70,  0.15	
J2252.0+4031, 0.229,  8.72,  0.15	
J2359.0-3038, 0.165,  8.67,  0.14	
