## TIME[s], TIMEDEL[s], COUNTS, ERROR 
# TIME is in MET
"4.312620840000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312620940000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621040000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621140000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621240000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621340000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621440000E+08","1.000000000000E+01","1","2.322876E+00"
"4.312621540000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621640000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621740000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312621840000E+08","1.000000000000E+01","1","2.322876E+00"
"4.312621940000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312622040000E+08","1.000000000000E+01","1","2.322876E+00"
"4.312622140000E+08","1.000000000000E+01","2","2.658312E+00"
"4.312622240000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312622340000E+08","1.000000000000E+01","1","2.322876E+00"
"4.312622440000E+08","1.000000000000E+01","1","2.322876E+00"
"4.312622540000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312622640000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312622740000E+08","1.000000000000E+01","2","2.658312E+00"
"4.312622840000E+08","1.000000000000E+01","4","3.179450E+00"
"4.312622940000E+08","1.000000000000E+01","2","2.658312E+00"
"4.312623040000E+08","1.000000000000E+01","2","2.658312E+00"
"4.312623140000E+08","1.000000000000E+01","7","3.783882E+00"
"4.312623240000E+08","1.000000000000E+01","2","2.658312E+00"
"4.312623340000E+08","1.000000000000E+01","8","3.958040E+00"
"4.312623440000E+08","1.000000000000E+01","6","3.598076E+00"
"4.312623540000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312623640000E+08","1.000000000000E+01","12","3.464102E+00"
"4.312623740000E+08","1.000000000000E+01","11","3.316625E+00"
"4.312623840000E+08","1.000000000000E+01","12","3.464102E+00"
"4.312623940000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312624040000E+08","1.000000000000E+01","12","3.464102E+00"
"4.312624140000E+08","1.000000000000E+01","18","4.242640E+00"
"4.312624240000E+08","1.000000000000E+01","13","3.605551E+00"
"4.312624340000E+08","1.000000000000E+01","14","3.741657E+00"
"4.312624440000E+08","1.000000000000E+01","16","4.000000E+00"
"4.312624540000E+08","1.000000000000E+01","8","3.958040E+00"
"4.312624640000E+08","1.000000000000E+01","17","4.123106E+00"
"4.312624740000E+08","1.000000000000E+01","12","3.464102E+00"
"4.312624840000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312624940000E+08","1.000000000000E+01","16","4.000000E+00"
"4.312625040000E+08","1.000000000000E+01","16","4.000000E+00"
"4.312625140000E+08","1.000000000000E+01","18","4.242640E+00"
"4.312625240000E+08","1.000000000000E+01","9","4.122499E+00"
"4.312625340000E+08","1.000000000000E+01","26","5.099020E+00"
"4.312625440000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312625540000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312625640000E+08","1.000000000000E+01","22","4.690416E+00"
"4.312625740000E+08","1.000000000000E+01","13","3.605551E+00"
"4.312625840000E+08","1.000000000000E+01","25","5.000000E+00"
"4.312625940000E+08","1.000000000000E+01","13","3.605551E+00"
