"Modified Julian Date","Detection","Upper Limit","Error (low)","Error (high)"
54686.5,0.000102,,0.0000859,0.000118
54693.5,0.000113,,0.0000932,0.000133
54700.5,0.000144,,0.000121,0.000167
54707.5,0.000129,,0.000107,0.000151
54714.5,0.000152,,0.000131,0.000173
54721.5,0.000119,,0.0000989,0.000139
54728.5,0.0000768,,0.0000605,0.0000931
54735.5,0.0000865,,0.0000707,0.000102
54742.5,0.0000947,,0.0000774,0.000112
54749.5,0.000109,,0.0000898,0.000128
54756.5,0.000128,,0.000106,0.00015
54770.5,0.00011,,0.0000902,0.00013
54777.5,0.0000651,,0.0000499,0.0000803
54784.5,0.0000693,,0.0000543,0.0000843
54791.5,0.000109,,0.0000919,0.000126
54798.5,0.000109,,0.0000901,0.000128
54812.5,0.0000416,,0.0000261,0.0000571
54826.5,0.0000974,,0.0000795,0.000115
54833.49998842599,0.0000859,,0.0000695,0.000102
54840.49998842599,0.000124,,0.000108,0.00014
54847.49998842599,0.000119,,0.0000988,0.000139
54854.49998842599,0.000137,,0.000116,0.000158
54861.49998842599,0.000168,,0.000144,0.000192
54868.49998842599,0.000176,,0.000152,0.0002
54875.49998842599,0.000116,,0.0000961,0.000136
54882.49998842599,0.000272,,0.000245,0.000299
54889.49998842599,0.000226,,0.000203,0.000249
54896.49998842599,0.000199,,0.000175,0.000223
54903.49998842599,0.000138,,0.000112,0.000164
54910.49998842599,0.000187,,0.000166,0.000208
54917.49998842599,0.00015,,0.000129,0.000171
54924.49998842599,0.000169,,0.000145,0.000193
54931.49998842599,0.000224,,0.000197,0.000251
54938.49998842599,0.000293,,0.000266,0.00032
54945.49998842599,0.000314,,0.000286,0.000342
54952.49998842599,0.000221,,0.000196,0.000246
54959.49998842599,0.000157,,0.000135,0.000179
54966.49998842599,0.000179,,0.000153,0.000204
54973.49998842599,0.000133,,0.000111,0.000155
54980.49998842599,0.0000672,,0.0000507,0.0000837
54987.49998842599,0.0000947,,0.000079,0.00011
54994.49998842599,0.000115,,0.0000971,0.000133
55001.49998842599,0.0000784,,0.0000631,0.0000937
55008.49998842599,0.0000925,,0.0000753,0.00011
55015.49998842599,0.0000734,,0.0000581,0.0000887
55022.49998842599,0.0000624,,0.0000457,0.0000791
55029.49998842599,0.0000961,,0.0000759,0.000116
55036.49998842599,0.000109,,0.0000912,0.000127
55050.49998842599,0.0000658,,0.0000513,0.0000803
55057.49998842599,0.000126,,0.000107,0.000146
55064.49998842599,0.0000554,,0.0000416,0.0000692
55071.49998842599,0.0000753,,0.0000561,0.0000945
55078.49998842599,0.0000842,,0.0000639,0.000104
55134.49998842599,0.0000542,,0.000033,0.0000754
55141.49998842599,0.0000491,,0.0000334,0.0000648
55155.49998842599,0.0000963,,0.0000813,0.000111
55162.49998842599,0.0000901,,0.0000752,0.000105
55169.49998842599,0.00014,,0.000123,0.000156
55190.49998842599,0.000192,,0.000164,0.00022
55204.49998842599,0.000242,,0.000218,0.000266
55225.49998842599,0.000215,,0.00019,0.00024
55239.49998842599,0.000384,,0.000352,0.000416
55253.49998842599,0.000305,,0.000277,0.000333
55260.49998842599,0.000378,,0.000349,0.000407
55267.49998842599,0.000284,,0.000261,0.000307
55302.49998842599,0.000295,,0.000261,0.000329
55309.49998842599,0.000303,,0.000275,0.000331
55330.49998842599,0.000187,,0.000166,0.000208
55365.49998842599,0.000218,,0.000194,0.000242
55407.49998842599,0.0000566,,0.0000405,0.0000727
55414.49998842599,0.000041,,0.0000292,0.0000528
55428.49998842599,0.00003,,0.0000209,0.0000391
55435.49998842599,0.0000277,,0.0000175,0.0000379
55442.49998842599,0.0000546,,0.000041,0.0000682
55456.49998842599,0.0000945,,0.0000744,0.000115
55463.49998842599,0.0000831,,0.0000665,0.0000997
55477.49998842599,0.000162,,0.000143,0.000181
55484.49998842599,0.000194,,0.000174,0.000214
55505.49998842599,0.000064,,0.0000432,0.0000848
55519.49998842599,0.0000415,,0.0000261,0.0000569
55526.49998842599,0.0000733,,0.0000583,0.0000883
55533.49998842599,0.0000899,,0.0000753,0.000105
55540.49998842599,0.000111,,0.0000952,0.000127
55547.49998842599,0.0000652,,0.0000492,0.0000812
55554.49998842599,0.000107,,0.0000862,0.000128
55568.49998842599,0.0000914,,0.0000726,0.00011
55575.49998842599,0.0000743,,0.0000567,0.0000919
55596.49998842599,0.0000815,,0.0000652,0.0000978
55603.49998842599,0.0000501,,0.0000362,0.000064
55624.49998842599,,0.0000195,,
55631.49998842599,0.0000388,,0.0000286,0.000049
55659.49998842599,0.0000521,,0.0000372,0.000067
55666.49998842599,0.0000329,,0.000022,0.0000438
55729.49998842599,0.0000583,,0.0000435,0.0000731
55736.49998842599,0.0000422,,0.00003,0.0000544
55750.49998842599,0.0000111,,0.00000374,0.0000185
55771.49998842599,0.000014,,0.0000048,0.0000232
55792.49998842599,0.000021,,0.0000117,0.0000303
55827.49998842599,0.0000131,,0.00000362,0.0000226
55841.49998842599,0.0000207,,0.0000091,0.0000323
55862.49998842599,,0.0000273,,
55869.49998842599,,0.0000241,,
55876.49998842599,0.00000919,,0.00000219,0.0000162
55883.49998842599,0.0000274,,0.0000138,0.000041
55890.49998842599,,0.0000179,,
55904.49998842599,,0.0000146,,
55918.49998842599,,0.000025,,
55925.49998842599,0.0000265,,0.0000148,0.0000382
55932.49998842599,0.0000349,,0.0000175,0.0000523
55953.49998842599,0.0000209,,0.000012,0.0000298
55967.49998842599,0.0000288,,0.0000195,0.0000381
55981.49998842599,0.0000567,,0.0000402,0.0000732
55995.49998842599,0.0000451,,0.0000261,0.0000641
56030.49998842599,0.000131,,0.000112,0.00015
56037.49998842599,0.000127,,0.000102,0.000152
56044.49998842599,0.0000369,,0.0000204,0.0000534
56051.49998842599,0.0000798,,0.0000616,0.000098
56058.49998842599,0.0000795,,0.0000633,0.0000957
56065.49998842599,0.0000594,,0.0000479,0.0000709
56072.49998842599,0.0000775,,0.0000647,0.0000903
56079.49998842599,0.0000476,,0.0000341,0.0000611
56086.49998842599,0.0000767,,0.0000579,0.0000955
56093.49998842599,0.0000642,,0.0000464,0.000082
56107.49998842599,0.0000644,,0.0000481,0.0000807
56114.49997685198,0.0000611,,0.0000443,0.0000779
56121.49997685198,0.0000397,,0.0000299,0.0000495
56128.49997685198,0.0000315,,0.000021,0.000042
56135.49997685198,0.0000361,,0.0000226,0.0000496
56191.49997685198,0.0000625,,0.0000445,0.0000805
56198.49997685198,0.0000917,,0.0000398,0.000144
56205.49997685198,0.0000872,,0.0000669,0.000108
56212.49997685198,0.0000737,,0.0000572,0.0000902
56219.49997685198,0.0000647,,0.0000517,0.0000777
56233.49997685198,0.000112,,0.0000953,0.000129
56254.49997685198,0.000116,,0.0000884,0.000144
56261.49997685198,0.000133,,0.000107,0.000159
56268.49997685198,0.000202,,0.000178,0.000226
56282.49997685198,0.000351,,0.000325,0.000377
56296.49997685198,0.000234,,0.000207,0.000261
56310.49997685198,0.000215,,0.000183,0.000247
56317.49997685198,0.000209,,0.000185,0.000233
56324.49997685198,0.000243,,0.000222,0.000264
